Square_Feet,Bedrooms,Location,Age_of_Property,Price
1500,3,Chennai,5,5000000
2000,2,Coimbatore,10,6000000
2500,3,Chennai,15,6500000
3000,3,Coimbatore,2,800000
1200,2,Chennai,20,3500000
1800,3,Tiruchirappalli,8,5500000
1600,3,Chennai,7,5200000
2200,3,Coimbatore,3,6200000
2100,2,Chennai,5,5750000
2400,2,Tiruchirappalli,12,6800000
2800,4,Chennai,1,750000
3000,2,Coimbatore,4,7000000
1700,3,Chennai,10,5400000
2500,4,Coimbatore,6,7700000
1500,3,Chennai,18,3200000
1900,3,Tiruchirappalli,3,5900000
2100,2,Chennai,15,6300000
3000,2,Coimbatore,1,8200000
2200,3,Chennai,7,6200000
2400,4,Tiruchirappalli,2,6800000
2600,3,Chennai,8,7300000
2000,3,Coimbatore,20,5700000
1500,2,Chennai,4,5100000
2800,4,Tiruchirappalli,11,7600000
2400,3,Chennai,5,6400000
2600,3,Coimbatore,3,7100000
1900,2,Chennai,10,5300000
2300,4,Tiruchirappalli,6,7400000
2200,3,Coimbatore,12,6600000
2500,3,Chennai,4,6000000
1800,2,Tiruchirappalli,14,4900000
2100,3,Chennai,5,5750000
2000,4,Coimbatore,10,6000000
1500,4,Chennai,18,4200000
1700,3,Tiruchirappalli,5,4800000
2500,3,Chennai,3,6700000
2300,2,Coimbatore,10,7100000
1800,3,Chennai,4,4900000
2000,4,Tiruchirappalli,8,5300000
3000,3,Chennai,12,7500000
4000,4,Coimbatore,5,7000000
